101	255	252	223
308	233	128	36
601	113	0	36
808	239	239	207
809	182	121	142
602	140	46	89
309	210	110	34
102	255	250	193
103	255	247	143
310	203	87	44
603	177	0	96
810	131	66	73
811	111	29	32
604	200	62	128
311	221	89	40
104	255	230	0
105	255	221	0
312	176	15	22
605	229	122	162
812	192	101	116
813	232	140	146
606	246	162	182
313	168	42	27
106	255	203	4
107	250	166	26
314	139	2	4
607	249	192	206
814	252	212	209
901	173	197	231
608	251	212	218
401	159	48	24
108	255	207	48
109	255	219	116
402	184	104	81
609	243	133	155
902	110	132	194
903	48	70	148
610	219	89	126
403	224	154	139
110	255	237	120
111	255	238	188
404	249	181	178
611	240	90	136
904	0	70	136
905	0	97	170
612	245	152	177
405	245	143	146
112	255	226	146
113	255	203	4
406	220	89	92
613	247	173	195
906	61	136	191
907	122	175	222
614	244	153	184
407	176	5	58
114	235	145	35
201	249	157	51
408	244	143	166
701	240	103	166
908	148	204	220
909	147	190	229
702	238	60	150
409	240	91	114
202	246	139	40
203	245	130	31
410	239	63	86
703	198	22	105
910	92	154	205
911	12	126	186
704	196	0	107
411	237	24	70
204	244	121	32
205	242	101	41
412	239	63	96
705	144	27	107
912	0	93	163
913	0	81	156
706	162	35	142
413	241	103	129
206	240	78	35
207	242	101	34
414	244	143	166
707	179	30	142
914	3	70	148
1001	201	233	234
708	198	61	150
501	253	222	215
208	219	65	40
209	237	28	36
502	250	202	204
709	219	130	181
1002	139	194	218
1003	53	155	200
710	232	169	204
503	248	182	193
210	192	39	45
211	196	21	28
504	243	133	155
711	178	130	186
1004	0	127	178
1005	0	89	142
712	124	81	161
505	230	121	150
212	210	52	42
213	239	64	61
506	228	77	121
713	96	72	157
1006	0	64	113
1007	0	34	79
714	74	30	107
507	209	31	92
214	242	102	65
301	246	141	111
508	173	29	84
801	199	178	214
1008	0	26	75
1009	0	0	55
802	176	154	202
509	174	41	76
302	249	170	143
303	233	148	143
510	201	36	63
803	157	126	185
1010	0	94	161
1011	0	104	169
804	116	86	158
511	157	0	49
304	250	191	183
305	252	207	191
512	167	2	54
805	103	103	106
1012	0	132	184
1013	124	176	196
806	128	100	110
513	143	0	53
306	254	230	211
307	246	140	60
514	113	0	42
807	201	177	196
1014	188	217	222
1101	175	222	220
1308	121	157	78
1601	0	91	60
1808	140	135	135
1102	0	125	198
1309	229	240	212
1602	70	106	80
1809	76	80	80
1810	56	50	64
1603	161	185	130
1310	115	164	113
1103	0	149	218
1104	187	228	233
1311	86	132	85
1604	195	223	164
1811	96	101	89
1812	123	124	113
1605	165	161	89
1312	40	108	73
1105	121	189	214
1106	0	143	171
1313	22	102	67
1606	147	133	59
1813	141	142	130
1814	203	203	196
1607	117	100	52
1314	0	83	53
1107	0	113	155
1108	0	151	173
1401	139	170	112
1608	95	112	68
1901	216	216	201
1902	182	177	155
1609	125	136	63
1402	95	145	94
1109	0	162	177
1110	42	165	170
1403	65	117	71
1610	188	174	50
1903	143	127	112
1904	74	66	63
1611	146	148	60
1404	0	97	59
1111	96	187	185
1905	136	119	91
1612	127	123	61
1405	0	88	52
1112	165	217	201
1113	135	209	209
1406	40	108	73
1613	110	113	52
1906	183	152	129
1907	227	201	175
1614	109	101	61
1407	42	114	77
1114	0	173	142
1201	112	199	173
1408	97	145	79
1701	180	202	183
1908	239	224	211
1909	239	205	175
1702	134	172	159
1409	183	200	148
1202	0	167	135
1203	0	139	114
1410	143	176	62
1703	65	129	119
1910	226	181	151
1911	184	136	110
1704	35	114	102
1411	98	144	68
1204	0	117	105
1205	0	91	68
1412	74	128	68
1705	14	74	68
1912	144	102	80
1913	114	66	56
1706	10	90	106
1413	21	114	72
1206	0	127	73
1207	102	193	141
1414	209	216	133
1707	91	134	144
1914	96	52	56
2001	227	219	201
1708	178	203	200
1501	165	176	92
1208	178	221	201
1209	170	197	167
1502	121	150	93
1709	201	216	220
2002	143	127	112
2003	94	66	58
1710	119	168	196
1503	99	139	78
1210	179	221	192
1211	127	202	165
1504	80	116	66
1711	26	131	163
2004	42	11	12
2005	95	38	41
1712	4	105	137
1505	47	57	41
1212	83	189	141
1213	24	165	111
1506	39	49	35
1713	64	54	57
2006	68	35	26
2007	114	66	56
1714	102	108	120
1507	76	95	57
1214	0	154	78
1301	0	166	93
1508	76	95	57
